pdb_id,working_cluster_id,cluster_v2_id,mapped_record_count,working_cluster_member_count,mapping_fraction,unmappable_record_count,mapping_type
1A9M,1A9M_C001,1A9M_V2C001,6,8,0.75,0,split_across_cluster_v2
1A9M,1A9M_C001,1A9M_V2C004,2,8,0.25,0,split_across_cluster_v2
1A9M,1A9M_C002,1A9M_V2C002,3,8,0.375,0,split_across_cluster_v2
1A9M,1A9M_C002,1A9M_V2C003,5,8,0.625,0,split_across_cluster_v2
1A9M,1A9M_C003,1A9M_V2C007,1,1,1,0,one_to_one
1A9M,1A9M_C004,1A9M_V2C010,1,1,1,0,one_to_one
1A9M,1A9M_C005,1A9M_V2C006,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C008,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C009,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C012,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C014,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C015,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C005,1A9M_V2C021,1,7,0.142857142857143,0,split_across_cluster_v2
1A9M,1A9M_C006,1A9M_V2C016,1,2,0.5,0,split_across_cluster_v2
1A9M,1A9M_C006,1A9M_V2C018,1,2,0.5,0,split_across_cluster_v2
1A9M,1A9M_C007,1A9M_V2C017,1,3,0.333333333333333,0,split_across_cluster_v2
1A9M,1A9M_C007,1A9M_V2C019,1,3,0.333333333333333,0,split_across_cluster_v2
1A9M,1A9M_C007,1A9M_V2C020,1,3,0.333333333333333,0,split_across_cluster_v2
1A9M,1A9M_C008,1A9M_V2C005,1,1,1,0,one_to_one
1A9M,1A9M_C009,1A9M_V2C013,1,1,1,0,one_to_one
1A9M,1A9M_C010,1A9M_V2C011,1,1,1,0,one_to_one
1FAP,1FAP_C001,1FAP_V2C001,9,48,0.1875,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C002,7,48,0.145833333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C003,4,48,0.0833333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C004,3,48,0.0625,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C005,3,48,0.0625,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C006,5,48,0.104166666666667,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C007,4,48,0.0833333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C008,2,48,0.0416666666666666,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C009,3,48,0.0625,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C010,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C011,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C012,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C013,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C014,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C015,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C017,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C001,1FAP_V2C018,1,48,0.0208333333333333,0,split_across_cluster_v2
1FAP,1FAP_C002,1FAP_V2C016,2,2,1,0,one_to_one
1FAP,1FAP_C003,1FAP_V2C020,1,1,1,0,one_to_one
1FAP,1FAP_C004,1FAP_V2C019,1,1,1,0,one_to_one
1HIH,1HIH_C001,1HIH_V2C004,3,8,0.375,0,split_across_cluster_v2
1HIH,1HIH_C001,1HIH_V2C006,4,8,0.5,0,split_across_cluster_v2
1HIH,1HIH_C001,1HIH_V2C012,1,8,0.125,0,split_across_cluster_v2
1HIH,1HIH_C002,1HIH_V2C001,7,15,0.466666666666667,0,split_across_cluster_v2
1HIH,1HIH_C002,1HIH_V2C002,6,15,0.4,0,split_across_cluster_v2
1HIH,1HIH_C002,1HIH_V2C008,1,15,0.0666666666666666,0,split_across_cluster_v2
1HIH,1HIH_C002,1HIH_V2C010,1,15,0.0666666666666666,0,split_across_cluster_v2
1HIH,1HIH_C003,1HIH_V2C005,6,7,0.857142857142857,0,split_across_cluster_v2
1HIH,1HIH_C003,1HIH_V2C017,1,7,0.142857142857143,0,split_across_cluster_v2
1HIH,1HIH_C004,1HIH_V2C003,3,3,1,0,one_to_one
1HIH,1HIH_C005,1HIH_V2C013,1,1,1,0,one_to_one
1HIH,1HIH_C006,1HIH_V2C007,2,4,0.5,0,split_across_cluster_v2
1HIH,1HIH_C006,1HIH_V2C018,2,4,0.5,0,split_across_cluster_v2
1HIH,1HIH_C007,1HIH_V2C009,1,2,0.5,0,split_across_cluster_v2
1HIH,1HIH_C007,1HIH_V2C011,1,2,0.5,0,split_across_cluster_v2
1HIH,1HIH_C008,1HIH_V2C016,1,1,1,0,one_to_one
1HIH,1HIH_C009,1HIH_V2C014,1,1,1,0,one_to_one
1HIH,1HIH_C010,1HIH_V2C019,1,1,1,0,one_to_one
1HIH,1HIH_C011,1HIH_V2C015,1,1,1,0,one_to_one
1HSG,1HSG_C001,1HSG_V2C001,5,6,0.833333333333333,0,split_across_cluster_v2
1HSG,1HSG_C001,1HSG_V2C011,1,6,0.166666666666667,0,split_across_cluster_v2
1HSG,1HSG_C002,1HSG_V2C003,6,9,0.666666666666667,0,split_across_cluster_v2
1HSG,1HSG_C002,1HSG_V2C004,2,9,0.222222222222222,0,split_across_cluster_v2
1HSG,1HSG_C002,1HSG_V2C019,1,9,0.111111111111111,0,split_across_cluster_v2
1HSG,1HSG_C003,1HSG_V2C002,3,7,0.428571428571428,0,split_across_cluster_v2
1HSG,1HSG_C003,1HSG_V2C012,3,7,0.428571428571428,0,split_across_cluster_v2
1HSG,1HSG_C003,1HSG_V2C018,1,7,0.142857142857143,0,split_across_cluster_v2
1HSG,1HSG_C004,1HSG_V2C005,3,3,1,0,one_to_one
1HSG,1HSG_C005,1HSG_V2C010,1,2,0.5,0,split_across_cluster_v2
1HSG,1HSG_C005,1HSG_V2C014,1,2,0.5,0,split_across_cluster_v2
1HSG,1HSG_C006,1HSG_V2C013,1,3,0.333333333333333,0,split_across_cluster_v2
1HSG,1HSG_C006,1HSG_V2C016,1,3,0.333333333333333,0,split_across_cluster_v2
1HSG,1HSG_C006,1HSG_V2C017,1,3,0.333333333333333,0,split_across_cluster_v2
1HSG,1HSG_C007,1HSG_V2C015,1,1,1,0,one_to_one
1HSG,1HSG_C008,1HSG_V2C006,1,1,1,0,one_to_one
1HSG,1HSG_C009,1HSG_V2C007,2,3,0.666666666666667,0,split_across_cluster_v2
1HSG,1HSG_C009,1HSG_V2C009,1,3,0.333333333333333,0,split_across_cluster_v2
1HSG,1HSG_C010,1HSG_V2C008,1,1,1,0,one_to_one
1SHL,1SHL_C001,1SHL_V2C001,5,88,0.0568181818181818,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C002,9,88,0.102272727272727,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C003,8,88,0.0909090909090909,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C004,9,88,0.102272727272727,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C005,7,88,0.0795454545454545,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C006,7,88,0.0795454545454545,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C007,4,88,0.0454545454545454,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C008,5,88,0.0568181818181818,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C009,2,88,0.0227272727272727,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C010,2,88,0.0227272727272727,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C011,4,88,0.0454545454545454,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C012,7,88,0.0795454545454545,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C013,3,88,0.034090909090909,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C014,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C015,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C016,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C017,2,88,0.0227272727272727,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C018,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C019,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C020,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C021,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C022,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C024,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C025,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C026,3,88,0.034090909090909,0,split_across_cluster_v2
1SHL,1SHL_C001,1SHL_V2C027,1,88,0.0113636363636363,0,split_across_cluster_v2
1SHL,1SHL_C002,1SHL_V2C023,1,1,1,0,one_to_one
1TCO,1TCO_C001,1TCO_V2C003,5,109,0.0458715596330275,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C004,8,109,0.073394495412844,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C005,6,109,0.055045871559633,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C006,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C008,6,109,0.055045871559633,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C009,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C010,6,109,0.055045871559633,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C011,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C012,5,109,0.0458715596330275,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C013,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C017,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C018,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C019,2,109,0.018348623853211,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C020,2,109,0.018348623853211,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C021,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C022,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C023,2,109,0.018348623853211,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C024,2,109,0.018348623853211,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C025,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C027,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C028,3,109,0.0275229357798165,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C029,4,109,0.036697247706422,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C033,1,109,0.0091743119266055,0,split_across_cluster_v2
1TCO,1TCO_C001,1TCO_V2C034,1,109,0.0091743119266055,0,split_across_cluster_v2
