bootstrap_method,metric,point_estimate,CI_2.5_percent,CI_97.5_percent,iterations,random_seed
target_resampling,Reference_Top1,0.571428571428571,0.380952380952381,0.761904761904762,10000,20260710
target_resampling,Reference_Top3,0.857142857142857,0.714285714285714,1,10000,20260710
target_resampling,Reference_Top5,0.904761904761905,0.761904761904762,1,10000,20260710
target_resampling,Reference_MRR,0.723015873015873,0.578551587301587,0.865079365079365,10000,20260710
target_resampling,First_supported_Top1,0.952380952380952,0.857142857142857,1,10000,20260710
target_resampling,First_supported_Top3,1,1,1,10000,20260710
target_resampling,First_supported_MRR,0.976190476190476,0.928571428571429,1,10000,20260710
family_clustered,Reference_Top1,0.571428571428571,0.25,0.785714285714286,10000,20260710
family_clustered,Reference_Top3,0.857142857142857,0.625,1,10000,20260710
family_clustered,Reference_Top5,0.904761904761905,0.714285714285714,1,10000,20260710
family_clustered,Reference_MRR,0.723015873015873,0.495826388888889,0.867285185185185,10000,20260710
family_clustered,First_supported_Top1,0.952380952380952,0.823529411764706,1,10000,20260710
family_clustered,First_supported_Top3,1,1,1,10000,20260710
family_clustered,First_supported_MRR,0.976190476190476,0.911764705882353,1,10000,20260710
