excluded_family,excluded_target_N,remaining_target_N,reference_evaluable_N,Reference_Top1,Reference_Top3,Reference_Top5,Reference_MRR,Reference_median_rank,Reference_median_rank_percentile,first_supported_evaluable_N,First_supported_Top1,First_supported_Top3,First_supported_MRR
HIF-2_series,2,19,19,0.631578947368421,0.842105263157895,0.894736842105263,0.755263157894737,1,1,19,0.947368421052632,1,0.973684210526316
HIV-1_protease_series,3,18,18,0.5,0.833333333333333,0.888888888888889,0.676851851851852,1.5,0.994736842105263,18,0.944444444444444,1,0.972222222222222
NKG2D_series,2,19,19,0.526315789473684,0.842105263157895,0.894736842105263,0.693859649122807,1,1,19,0.947368421052632,1,0.973684210526316
PD-L1_series,5,16,16,0.5,0.8125,0.875,0.667708333333333,1.5,0.994736842105263,16,0.9375,1,0.96875
singleton_1FAP,1,20,20,0.55,0.85,0.9,0.709166666666667,1,1,20,0.95,1,0.975
singleton_1SHL,1,20,20,0.55,0.85,0.9,0.709166666666667,1,1,20,0.95,1,0.975
singleton_1TCO,1,20,20,0.6,0.9,0.9,0.746666666666667,1,1,20,0.95,1,0.975
singleton_3DJI,1,20,20,0.6,0.85,0.9,0.7425,1,1,20,0.95,1,0.975
singleton_4W9H,1,20,20,0.6,0.9,0.95,0.754166666666667,1,1,20,0.95,1,0.975
singleton_5LGE,1,20,20,0.6,0.85,0.9,0.734166666666667,1,1,20,1,1,1
singleton_6WKQ,1,20,20,0.6,0.9,0.95,0.750833333333333,1,1,20,0.95,1,0.975
singleton_7JRA,1,20,20,0.6,0.85,0.9,0.734166666666667,1,1,20,0.95,1,0.975
singleton_7O2I,1,20,20,0.55,0.85,0.9,0.709166666666667,1,1,20,0.95,1,0.975
