pdb_id,cluster_v2_id,Within_PDB_rank,Without_O_rel_score,Without_O_rel_rank
1A9M,1A9M_V2C001,1,95.0079331195121,1
1A9M,1A9M_V2C003,2,59.8103431256713,2
1A9M,1A9M_V2C002,3,57.1683183668994,3
1A9M,1A9M_V2C015,13,48.3611815252417,4
1A9M,1A9M_V2C004,5,36.3846177725564,5
1A9M,1A9M_V2C007,15,30.5274177295918,6
1A9M,1A9M_V2C010,4,30.2279153257457,7
1A9M,1A9M_V2C006,20,28.9360114795918,8
1A9M,1A9M_V2C016,6,28.6704489795918,9
1A9M,1A9M_V2C005,17,28.5612422488226,10
1A9M,1A9M_V2C009,21,28.5083047488226,11
1A9M,1A9M_V2C019,9,28.4763672488226,12
1A9M,1A9M_V2C013,16,28.4495619603611,13
1A9M,1A9M_V2C021,14,28.4362686911303,14
1A9M,1A9M_V2C017,10,28.3438047488226,15
1A9M,1A9M_V2C018,12,28.3292831142072,16
1A9M,1A9M_V2C011,19,28.2986917680534,17
1A9M,1A9M_V2C014,18,28.2936941718995,18
1A9M,1A9M_V2C008,11,28.2903287872842,19
1A9M,1A9M_V2C020,7,28.288763883438,20
1A9M,1A9M_V2C012,8,28.2881412872841,21
1FAP,1FAP_V2C002,1,91.7842303601108,1
1FAP,1FAP_V2C001,4,79.8713833379778,2
1FAP,1FAP_V2C003,2,75.188314664961,3
1FAP,1FAP_V2C004,6,66.9697991526456,4
1FAP,1FAP_V2C006,3,66.2563524487355,5
1FAP,1FAP_V2C005,7,59.2796648581275,6
1FAP,1FAP_V2C008,8,56.3825671291209,7
1FAP,1FAP_V2C007,5,53.9028350993555,8
1FAP,1FAP_V2C009,10,41.1133654276879,9
1FAP,1FAP_V2C015,12,38.2822583673469,10
1FAP,1FAP_V2C018,11,29.1325499411303,11
1FAP,1FAP_V2C013,15,28.7021004218995,12
1FAP,1FAP_V2C014,19,28.477982633438,13
1FAP,1FAP_V2C017,9,28.4455739795918,14
1FAP,1FAP_V2C016,14,28.4334754218995,15
1FAP,1FAP_V2C012,13,28.3835331142072,16
1FAP,1FAP_V2C020,17,28.343888883438,17
1FAP,1FAP_V2C019,20,28.3065162872842,18
1FAP,1FAP_V2C011,16,28.2886965757457,19
1FAP,1FAP_V2C010,18,28.2866268642072,20
1HIH,1HIH_V2C004,1,80.5659720730397,1
1HIH,1HIH_V2C006,2,71.2117022620988,2
1HIH,1HIH_V2C001,4,66.8861141153333,3
1HIH,1HIH_V2C005,7,54.9935398361976,4
1HIH,1HIH_V2C002,9,54.5039923581274,5
1HIH,1HIH_V2C003,3,52.7889227309345,6
1HIH,1HIH_V2C008,6,45.8192891522763,7
1HIH,1HIH_V2C007,12,42.6654105462207,8
1HIH,1HIH_V2C012,10,32.459173104189,9
1HIH,1HIH_V2C013,5,30.244826383438,10
1HIH,1HIH_V2C011,13,28.9399489795918,11
1HIH,1HIH_V2C016,14,28.6583672488226,12
1HIH,1HIH_V2C014,11,28.5843624411303,13
1HIH,1HIH_V2C017,19,28.342357633438,14
1HIH,1HIH_V2C010,15,28.296420133438,15
1HIH,1HIH_V2C019,17,28.2826893642072,16
1HIH,1HIH_V2C015,8,28.2774730180534,17
1HIH,1HIH_V2C009,18,28.277388883438,18
1HIH,1HIH_V2C018,16,28.2763792680534,19
1HSG,1HSG_V2C001,1,94.979971397024,1
1HSG,1HSG_V2C003,4,56.6818518318117,2
1HSG,1HSG_V2C002,7,55.2208403186537,3
1HSG,1HSG_V2C005,2,52.3479510233516,4
1HSG,1HSG_V2C004,9,51.5168355746509,5
1HSG,1HSG_V2C010,3,48.0801288936627,6
1HSG,1HSG_V2C018,6,46.6326860753532,7
1HSG,1HSG_V2C012,12,41.7251246831364,8
1HSG,1HSG_V2C014,5,29.9746533065149,9
1HSG,1HSG_V2C016,14,29.6070523449764,10
1HSG,1HSG_V2C015,15,28.9333023449764,11
1HSG,1HSG_V2C006,16,28.7459850372841,12
1HSG,1HSG_V2C007,17,28.3296533065149,13
1HSG,1HSG_V2C008,10,28.3266749411303,14
1HSG,1HSG_V2C013,18,28.3260859988226,15
1HSG,1HSG_V2C009,19,28.2978335949764,16
1HSG,1HSG_V2C019,13,28.2968408065149,17
1HSG,1HSG_V2C017,11,28.2927855180534,18
1HSG,1HSG_V2C011,8,28.2888311911303,19
1SHL,1SHL_V2C002,1,84.7980622039474,1
1SHL,1SHL_V2C005,2,80.4976997881066,2
1SHL,1SHL_V2C001,3,79.3588009842789,3
1SHL,1SHL_V2C004,4,72.5698382857712,4
1SHL,1SHL_V2C003,5,72.2757192105263,5
1SHL,1SHL_V2C008,6,56.8539560861976,6
1SHL,1SHL_V2C006,7,56.4068099897064,7
1SHL,1SHL_V2C007,8,50.9739423142678,8
1SHL,1SHL_V2C010,9,48.6646072795488,9
1SHL,1SHL_V2C019,10,44.577365735768,10
1SHL,1SHL_V2C011,11,42.7975263909774,11
1SHL,1SHL_V2C017,12,41.6046446831364,12
1SHL,1SHL_V2C013,13,41.066180568609,13
1SHL,1SHL_V2C026,14,40.6757467883996,14
1SHL,1SHL_V2C012,15,36.7079383250066,15
1SHL,1SHL_V2C009,16,33.2656733909774,16
1SHL,1SHL_V2C016,17,32.8179994603611,17
1SHL,1SHL_V2C022,18,31.3389465757457,18
1SHL,1SHL_V2C025,19,30.1700811911303,19
1SHL,1SHL_V2C021,20,29.2557230180534,20
1SHL,1SHL_V2C020,21,28.6238215757457,21
1SHL,1SHL_V2C023,22,28.363576383438,22
1SHL,1SHL_V2C027,23,28.3545739795918,23
1SHL,1SHL_V2C014,24,28.2917422488226,24
1SHL,1SHL_V2C018,25,28.2828071526688,25
1SHL,1SHL_V2C015,26,28.2781460949764,26
1SHL,1SHL_V2C024,27,28.277388883438,27
1TCO,1TCO_V2C004,1,92.4207932330827,1
1TCO,1TCO_V2C003,2,86.2168446860157,2
1TCO,1TCO_V2C006,3,80.7160940773512,3
1TCO,1TCO_V2C011,4,80.3694987350896,4
1TCO,1TCO_V2C002,12,79.1605914127649,5
1TCO,1TCO_V2C001,13,78.5740468147642,6
1TCO,1TCO_V2C020,6,72.0295938264555,7
1TCO,1TCO_V2C009,5,71.1577076393344,8
1TCO,1TCO_V2C022,7,69.5747935966081,9
1TCO,1TCO_V2C005,14,68.9371701893126,10
1TCO,1TCO_V2C008,8,68.2402813076835,11
1TCO,1TCO_V2C018,9,67.931432747403,12
1TCO,1TCO_V2C010,11,66.0461885965854,13
1TCO,1TCO_V2C012,16,61.5988998142678,14
1TCO,1TCO_V2C013,10,60.0948576541801,15
1TCO,1TCO_V2C015,20,57.4187461519871,16
1TCO,1TCO_V2C014,24,56.320503410759,17
1TCO,1TCO_V2C026,25,55.5025522791353,18
1TCO,1TCO_V2C007,27,53.9042961300573,19
1TCO,1TCO_V2C025,15,51.9557882988722,20
1TCO,1TCO_V2C066,31,51.6453920515575,21
1TCO,1TCO_V2C016,35,50.3532019501879,22
1TCO,1TCO_V2C041,28,50.2413751138148,23
1TCO,1TCO_V2C071,36,49.8169709989259,24
1TCO,1TCO_V2C028,32,47.7288846804511,25
1TCO,1TCO_V2C019,39,45.974983200188,26
1TCO,1TCO_V2C017,38,44.8828137922932,27
1TCO,1TCO_V2C029,18,43.3475222462406,28
1TCO,1TCO_V2C021,17,43.0162006015038,29
1TCO,1TCO_V2C027,40,38.9920157988722,30
1TCO,1TCO_V2C023,41,38.758432443609,31
1TCO,1TCO_V2C024,44,36.3578992857143,32
1TCO,1TCO_V2C042,19,35.4695691718995,33
1TCO,1TCO_V2C034,54,31.8204321526688,34
1TCO,1TCO_V2C053,47,30.539482633438,35
1TCO,1TCO_V2C055,49,30.3721893642072,36
1TCO,1TCO_V2C062,60,30.3623624411303,37
1TCO,1TCO_V2C036,34,30.2250715757457,38
1TCO,1TCO_V2C073,61,30.0040331142072,39
