issue_id,level,pdb_id,cluster_v2_id,issue_type,status,required_user_or_future_input,current_handling
U001,candidate,1A9M,1A9M_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U002,candidate,1A9M,1A9M_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U003,candidate,1FAP,1FAP_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U004,candidate,1FAP,1FAP_V2C006,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U005,candidate,1HIH,1HIH_V2C006,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U006,candidate,1HSG,1HSG_V2C010,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U007,candidate,1SHL,1SHL_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U008,candidate,1SHL,1SHL_V2C005,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U009,candidate,1SHL,1SHL_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U010,candidate,1TCO,1TCO_V2C004,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U011,candidate,4W9H,4W9H_V2C005,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U012,candidate,4W9H,4W9H_V2C002,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U013,candidate,5J89,5J89_V2C003,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U014,candidate,5J89,5J89_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U015,candidate,5LGE,5LGE_V2C006,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U016,candidate,5LGE,5LGE_V2C017,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U017,candidate,5LGE,5LGE_V2C002,automated_label_or_boundary_unresolved,U_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U018,candidate,5NIU,5NIU_V2C002,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U019,candidate,5NIU,5NIU_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U020,candidate,5NIU,5NIU_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U021,candidate,5TBM,5TBM_V2C001,automated_label_or_boundary_unresolved,A_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U022,candidate,5TBM,5TBM_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U023,candidate,6E3S,6E3S_V2C005,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U024,candidate,6R3K,6R3K_V2C002,automated_label_or_boundary_unresolved,A_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U025,candidate,6R3K,6R3K_V2C005,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U026,candidate,6R3K,6R3K_V2C010,automated_label_or_boundary_unresolved,R_auto|QC_possible_overmerge,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U027,candidate,6WKQ,6WKQ_V2C001,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U028,candidate,7JRA,7JRA_V2C006,automated_label_or_boundary_unresolved,A_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U029,candidate,7JRA,7JRA_V2C007,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U030,candidate,8P1O,8P1O_V2C001,automated_label_or_boundary_unresolved,R_auto|QC_possible_split,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U031,candidate,8P1O,8P1O_V2C003,automated_label_or_boundary_unresolved,U_auto|QC_pass,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U032,candidate,8P1O,8P1O_V2C012,automated_label_or_boundary_unresolved,R_auto|QC_insufficient_evidence,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U033,candidate,8SE5,8SE5_V2C003,automated_label_or_boundary_unresolved,R_auto|QC_boundary_sensitive,Optional targeted structural inspection or additional orthogonal evidence,Retained with unresolved_flag; not forced into a binary biological assignment
U034,target,1SHL,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U035,target,7BEA,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U036,target,7O2I,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U037,target,8EA7,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U038,target,8P1O,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U039,target,8SE5,,MD_not_available,open,Ligand-containing or otherwise hypothesis-matched MD trajectory if dynamic refinement is desired,D_dyn omitted; static priority remains unchanged
U040,target,1A9M,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
U041,target,1FAP,,reference_region_split_across_multiple_cluster_v2_boundaries,2_R_auto_clusters,Optional boundary-focused inspection; no input is required for current metrics,Reference metric uses the first R_auto rank and preserves all fragments
