panel,record_id,series,group,x,y,x_label,y_label,lower,upper,annotation
a,1A9M,formal_cluster_v2_count,orthosteric,21,5,Formal cluster-v2 candidates,Target,,,
a,1FAP,formal_cluster_v2_count,complex-dependent,20,4,Formal cluster-v2 candidates,Target,,,
a,1HIH,formal_cluster_v2_count,orthosteric,19,2,Formal cluster-v2 candidates,Target,,,
a,1HSG,formal_cluster_v2_count,orthosteric,19,3,Formal cluster-v2 candidates,Target,,,
a,1SHL,formal_cluster_v2_count,allosteric,27,13,Formal cluster-v2 candidates,Target,,,
a,1TCO,formal_cluster_v2_count,complex-dependent,73,18,Formal cluster-v2 candidates,Target,,,
a,3DJI,formal_cluster_v2_count,interface/PPI,48,16,Formal cluster-v2 candidates,Target,,,
a,4W9H,formal_cluster_v2_count,complex-dependent,38,14,Formal cluster-v2 candidates,Target,,,
a,5J89,formal_cluster_v2_count,interface/PPI,24,8,Formal cluster-v2 candidates,Target,,,
a,5LGE,formal_cluster_v2_count,allosteric,96,20,Formal cluster-v2 candidates,Target,,,
a,5NIU,formal_cluster_v2_count,interface/PPI,24,9,Formal cluster-v2 candidates,Target,,,
a,5TBM,formal_cluster_v2_count,allosteric,23,7,Formal cluster-v2 candidates,Target,,,
a,6E3S,formal_cluster_v2_count,allosteric,81,19,Formal cluster-v2 candidates,Target,,,
a,6R3K,formal_cluster_v2_count,interface/PPI,26,12,Formal cluster-v2 candidates,Target,,,
a,6WKQ,formal_cluster_v2_count,orthosteric,25,11,Formal cluster-v2 candidates,Target,,,
a,7BEA,formal_cluster_v2_count,interface/PPI,17,0,Formal cluster-v2 candidates,Target,,,
a,7JRA,formal_cluster_v2_count,complex-dependent,42,15,Formal cluster-v2 candidates,Target,,,
a,7O2I,formal_cluster_v2_count,orthosteric,48,17,Formal cluster-v2 candidates,Target,,,
a,8EA7,formal_cluster_v2_count,interface/PPI,21,6,Formal cluster-v2 candidates,Target,,,
a,8P1O,formal_cluster_v2_count,interface/PPI,17,1,Formal cluster-v2 candidates,Target,,,
a,8SE5,formal_cluster_v2_count,interface/PPI,24,10,Formal cluster-v2 candidates,Target,,,
b,1A9M,First R_auto,orthosteric,1,9,Within-target rank,Target,,,
b,1A9M,First R_auto/A_auto,orthosteric,1,9,Within-target rank,Target,,,
b,1FAP,First R_auto,complex-dependent,1,10,Within-target rank,Target,,,
b,1FAP,First R_auto/A_auto,complex-dependent,1,10,Within-target rank,Target,,,
b,1HIH,First R_auto,orthosteric,1,11,Within-target rank,Target,,,
b,1HIH,First R_auto/A_auto,orthosteric,1,11,Within-target rank,Target,,,
b,1HSG,First R_auto,orthosteric,1,12,Within-target rank,Target,,,
b,1HSG,First R_auto/A_auto,orthosteric,1,12,Within-target rank,Target,,,
b,1SHL,First R_auto,allosteric,1,13,Within-target rank,Target,,,
b,1SHL,First R_auto/A_auto,allosteric,1,13,Within-target rank,Target,,,
b,1TCO,First R_auto,complex-dependent,4,2,Within-target rank,Target,,,
b,1TCO,First R_auto/A_auto,complex-dependent,1,2,Within-target rank,Target,,,
b,3DJI,First R_auto,interface/PPI,3,3,Within-target rank,Target,,,
b,3DJI,First R_auto/A_auto,interface/PPI,1,3,Within-target rank,Target,,,
b,4W9H,First R_auto,complex-dependent,10,0,Within-target rank,Target,,,
b,4W9H,First R_auto/A_auto,complex-dependent,1,0,Within-target rank,Target,,,
b,5J89,First R_auto,interface/PPI,1,14,Within-target rank,Target,,,
b,5J89,First R_auto/A_auto,interface/PPI,1,14,Within-target rank,Target,,,
b,5LGE,First R_auto,allosteric,2,5,Within-target rank,Target,,,
b,5LGE,First R_auto/A_auto,allosteric,2,5,Within-target rank,Target,,,
b,5NIU,First R_auto,interface/PPI,1,15,Within-target rank,Target,,,
b,5NIU,First R_auto/A_auto,interface/PPI,1,15,Within-target rank,Target,,,
b,5TBM,First R_auto,allosteric,2,6,Within-target rank,Target,,,
b,5TBM,First R_auto/A_auto,allosteric,1,6,Within-target rank,Target,,,
b,6E3S,First R_auto,allosteric,3,4,Within-target rank,Target,,,
b,6E3S,First R_auto/A_auto,allosteric,1,4,Within-target rank,Target,,,
b,6R3K,First R_auto,interface/PPI,2,7,Within-target rank,Target,,,
b,6R3K,First R_auto/A_auto,interface/PPI,1,7,Within-target rank,Target,,,
b,6WKQ,First R_auto,orthosteric,6,1,Within-target rank,Target,,,
b,6WKQ,First R_auto/A_auto,orthosteric,1,1,Within-target rank,Target,,,
b,7BEA,First R_auto,interface/PPI,1,16,Within-target rank,Target,,,
b,7BEA,First R_auto/A_auto,interface/PPI,1,16,Within-target rank,Target,,,
b,7JRA,First R_auto,complex-dependent,2,8,Within-target rank,Target,,,
b,7JRA,First R_auto/A_auto,complex-dependent,1,8,Within-target rank,Target,,,
b,7O2I,First R_auto,orthosteric,1,17,Within-target rank,Target,,,
b,7O2I,First R_auto/A_auto,orthosteric,1,17,Within-target rank,Target,,,
b,8EA7,First R_auto,interface/PPI,1,18,Within-target rank,Target,,,
b,8EA7,First R_auto/A_auto,interface/PPI,1,18,Within-target rank,Target,,,
b,8P1O,First R_auto,interface/PPI,1,19,Within-target rank,Target,,,
b,8P1O,First R_auto/A_auto,interface/PPI,1,19,Within-target rank,Target,,,
b,8SE5,First R_auto,interface/PPI,1,20,Within-target rank,Target,,,
b,8SE5,First R_auto/A_auto,interface/PPI,1,20,Within-target rank,Target,,,
c,Top-1,First supported,Top-1,0,0.952380952380952,Rank threshold,Fraction of evaluable targets,,,0.95
c,Top-1,Reference-associated,Top-1,0,0.571428571428571,Rank threshold,Fraction of evaluable targets,,,0.57
c,Top-3,First supported,Top-3,1,1,Rank threshold,Fraction of evaluable targets,,,1.00
c,Top-3,Reference-associated,Top-3,1,0.857142857142857,Rank threshold,Fraction of evaluable targets,,,0.86
c,Top-5,First supported,Top-5,2,1,Rank threshold,Fraction of evaluable targets,,,1.00
c,Top-5,Reference-associated,Top-5,2,0.904761904761905,Rank threshold,Fraction of evaluable targets,,,0.90
d,First_supported_MRR,family_clustered,First_supported_MRR,0.976190476190476,5,Estimate and 95% bootstrap interval,Metric,0.911764705882353,1,
d,First_supported_MRR,target_resampling,First_supported_MRR,0.976190476190476,5,Estimate and 95% bootstrap interval,Metric,0.928571428571429,1,
d,First_supported_Top1,family_clustered,First_supported_Top1,0.952380952380952,3,Estimate and 95% bootstrap interval,Metric,0.823529411764706,1,
d,First_supported_Top1,target_resampling,First_supported_Top1,0.952380952380952,3,Estimate and 95% bootstrap interval,Metric,0.857142857142857,1,
d,First_supported_Top3,family_clustered,First_supported_Top3,1,4,Estimate and 95% bootstrap interval,Metric,1,1,
d,First_supported_Top3,target_resampling,First_supported_Top3,1,4,Estimate and 95% bootstrap interval,Metric,1,1,
d,Reference_MRR,family_clustered,Reference_MRR,0.723015873015873,2,Estimate and 95% bootstrap interval,Metric,0.495826388888889,0.867285185185185,
d,Reference_MRR,target_resampling,Reference_MRR,0.723015873015873,2,Estimate and 95% bootstrap interval,Metric,0.578551587301587,0.865079365079365,
d,Reference_Top1,family_clustered,Reference_Top1,0.571428571428571,0,Estimate and 95% bootstrap interval,Metric,0.25,0.785714285714286,
d,Reference_Top1,target_resampling,Reference_Top1,0.571428571428571,0,Estimate and 95% bootstrap interval,Metric,0.380952380952381,0.761904761904762,
d,Reference_Top3,family_clustered,Reference_Top3,0.857142857142857,1,Estimate and 95% bootstrap interval,Metric,0.625,1,
d,Reference_Top3,target_resampling,Reference_Top3,0.857142857142857,1,Estimate and 95% bootstrap interval,Metric,0.714285714285714,1,
