asset_id	pdb_id_or_scope	scientific_role	archive_filename_or_label	local_availability	repository	persistent_id	bytes	sha256	access_status	completeness	license_status	source_version_or_date	notes
md-1a9m-native-1a9m-full-md-inputs	1A9M	full MD inputs	md/1a9m/native-1a9m/full-md-inputs	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1a9m-native-1a9m-full-md-trajectories	1A9M	full MD trajectories	md/1a9m/native-1a9m/full-md-trajectories	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1a9m-native-1a9m-representative-md-snapshots	1A9M	representative MD snapshots	md/1a9m/native-1a9m/representative-md-snapshots	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1a9m-native-1a9m-restart-or-checkpoint-files	1A9M	restart or checkpoint files	md/1a9m/native-1a9m/restart-or-checkpoint-files	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1fap-native-1fap-full-md-inputs	1FAP	full MD inputs	md/1fap/native-1fap/full-md-inputs	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1fap-native-1fap-full-md-trajectories	1FAP	full MD trajectories	md/1fap/native-1fap/full-md-trajectories	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1fap-native-1fap-representative-md-snapshots	1FAP	representative MD snapshots	md/1fap/native-1fap/representative-md-snapshots	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1fap-native-1fap-restart-or-checkpoint-files	1FAP	restart or checkpoint files	md/1fap/native-1fap/restart-or-checkpoint-files	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1hih-native-1hih-full-md-inputs	1HIH	full MD inputs	md/1hih/native-1hih/full-md-inputs	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
md-1hih-native-1hih-full-md-trajectories	1HIH	full MD trajectories	md/1hih/native-1hih/full-md-trajectories	not_available_in_source_materials	not_archived		not_available_in_source_materials	not_available_in_source_materials	not_available_in_source_materials	requested artifact class was not present in the discoverable source tree	manifest_only; team publication authorization confirmed; licensed software artifacts excluded	not_available_in_source_materials	Stable inventory label only; analysis images and summary exports do not establish availability of this artifact class.
