asset_id	scientific_role	local_path_or_url	repository	persistent_id	sha256	bytes	media_type	license_or_terms	access_status	source_version_or_date
data-readme	release documentation	data/README.md	GitHub repository	not_assigned	0c41d28d6e39e07e7f7cc9d5fd5fb62f89b4fd1402dd0e0da7e45a762a9ff456	1212	text/markdown	Team-authored narrative under planned repository license	repository_local	curated_snapshot_2026-07-17
external-archive-manifest	external archive inventory	data/external_archive_manifest.tsv	GitHub repository	not_assigned	825e94ac7547891a49d8dc0857b2d78462930c163e32ad013ca9187d0366cc56	109174	text/tab-separated-values	Team-authored metadata under planned repository license	repository_local	curated_snapshot_2026-07-17
metadata-asset-rights	curation audit metadata	data/metadata/asset-rights.tsv	GitHub repository	not_assigned	96a47a4ff4599bab7b476a68ddddfd30054ce0a2991846964c5d19728b1832b9	6374	text/tab-separated-values	Team-authored metadata under planned repository license	repository_local	curated_snapshot_2026-07-17
metadata-manual-decisions	curation audit metadata	data/metadata/manual_decisions.tsv	GitHub repository	not_assigned	dee1106d6317c2b3649a34f14ca3dcb308a87490f4bc6248965e8ddcfe40a45c	9294	text/tab-separated-values	Team-authored metadata under planned repository license	repository_local	curated_snapshot_2026-07-17
metadata-systems	system metadata table	data/metadata/systems.tsv	GitHub repository	not_assigned	38c9e289750489fc4b1152a2305e7029ac853aab7441f8febd21cc8f39792709	19333	text/tab-separated-values	Team-authored curation under planned repository license	repository_local	curated_snapshot_2026-07-17
posthoc-md-evidence	MD post-hoc summary	data/posthoc/md_evidence.csv	GitHub repository	not_assigned	3a5cb0c739db92d5f5bc2971f03b42eb7beb80871e31e156fbd2dde9442fceb0	3688	text/csv	Team-derived scientific results; vendor terms retained; no software redistribution	repository_local	curated_snapshot_2026-07-17
posthoc-redocking-evidence	redocking post-hoc summary	data/posthoc/redocking_evidence.csv	GitHub repository	not_assigned	dad0a051e1e8fa054853da75bb54eee7664da18c0eef6212d50a08639e3d495d	3175	text/csv	Team-derived scientific results; vendor terms retained; no software or benchmark disclosure	repository_local	curated_snapshot_2026-07-17
posthoc-reference-annotations	reference annotations	data/posthoc/reference_annotations.csv	GitHub repository	not_assigned	ddc58efcd4d2cdc5a3df6fa565d80ab458f406adcbe6824ad517815e8df84602	1195	text/csv	Team-authored curation under planned repository license	repository_local	curated_snapshot_2026-07-17
static-tool-pocket-features	normalized pocket features	data/static/tool_pocket_features.csv	GitHub repository	not_assigned	e33c0ea0c8dd80e631ccb1f812cd222953707b78c7c4a884679bef340ff886d8	490125	text/csv	Normalized factual measurements only; provider terms retained; no third-party relicensing	repository_local	curated_snapshot_2026-07-17
structure-1a9m	prepared paired structure	data/structures/1a9m_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1A9M/pdb	3983de17c284c56b3a85540f083c33dcf1fbbd7fdc89d340ece5f1dcc67b8232	128205	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-1fap	prepared paired structure	data/structures/1fap_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1FAP/pdb	80dc6c76c8d9a12dc74666ea8f8425de3e559718ac935023a456aee41ab78f20	170500	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-1hih	prepared paired structure	data/structures/1hih_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1HIH/pdb	d2289c93ff93c4024cf3d5b436a87a7617d8740858f8559dd27c2d58a3e2822d	127140	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-1hsg	prepared paired structure	data/structures/1hsg_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1HSG/pdb	b2497baaa6c84fca994305360b4d25d31d0068505ed1df55cc58eea1448f967e	127398	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-1shl	prepared paired structure	data/structures/1shl_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1SHL/pdb	acdf2b3fcb3bf316dca1e1ec86b0613a6a47e26c8e628cd8fef0ad6d21329561	129396	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-1tco	prepared paired structure	data/structures/1tco_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb1TCO/pdb	66fcc1e953575a9f324ce427a29cc4e18b941a21b1d0bab96422b3eb9132c4b5	413751	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
structure-3dji	prepared paired structure	data/structures/3dji_paired.pdb	GitHub repository	https://doi.org/10.2210/pdb3DJI/pdb	1911891d772cf6785d9638e35dbfef991c685bdf60bab340f1dd0f347c7e1e3f	212567	chemical/x-pdb	PDB archive data CC0 1.0; preparation recorded as a team transformation	repository_local	not_available_in_source_materials
