panel,record_id,series,group,x,y,x_label,y_label,lower,upper,annotation
a,rank_1,A_auto,A_auto,1,8,Static rank,Candidates,,,
a,rank_1,R_auto,R_auto,1,12,Static rank,Candidates,,,
a,rank_1,U_auto,U_auto,1,1,Static rank,Candidates,,,
a,rank_1,X_auto,X_auto,1,0,Static rank,Candidates,,,
a,rank_2,A_auto,A_auto,2,9,Static rank,Candidates,,,
a,rank_2,R_auto,R_auto,2,8,Static rank,Candidates,,,
a,rank_2,U_auto,U_auto,2,4,Static rank,Candidates,,,
a,rank_2,X_auto,X_auto,2,0,Static rank,Candidates,,,
a,rank_3,A_auto,A_auto,3,9,Static rank,Candidates,,,
a,rank_3,R_auto,R_auto,3,4,Static rank,Candidates,,,
a,rank_3,U_auto,U_auto,3,8,Static rank,Candidates,,,
a,rank_3,X_auto,X_auto,3,0,Static rank,Candidates,,,
b,apo_only_context,MD_runs,apo_only_context,3,5,MD runs,Concordance call,,,
b,boundary_shift,MD_runs,boundary_shift,0,2,MD runs,Concordance call,,,
b,concordant,MD_runs,concordant,7,0,MD runs,Concordance call,,,6 targets without MD
b,insufficient_MD_evidence,MD_runs,insufficient_MD_evidence,0,4,MD runs,Concordance call,,,
b,partially_concordant,MD_runs,partially_concordant,3,1,MD runs,Concordance call,,,
b,static_dynamic_conflict,MD_runs,static_dynamic_conflict,10,3,MD runs,Concordance call,,,
c,1A9M,Raw_ligand_RMSD_A,<=2,0.9391,11,Raw redocking RMSD (A),Target,,,
c,1FAP,Raw_ligand_RMSD_A,<=2,1.1269,13,Raw redocking RMSD (A),Target,,,
c,1HIH,Raw_ligand_RMSD_A,<=2,1.696,15,Raw redocking RMSD (A),Target,,,
c,1HSG,Raw_ligand_RMSD_A,<=2,0.1635,0,Raw redocking RMSD (A),Target,,,
c,1SHL,Raw_ligand_RMSD_A,<=2,1.059,12,Raw redocking RMSD (A),Target,,,
c,1TCO,Raw_ligand_RMSD_A,<=2,0.454,4,Raw redocking RMSD (A),Target,,,
c,3DJI,Raw_ligand_RMSD_A,<=3,2.0658,18,Raw redocking RMSD (A),Target,,,
c,4W9H,Raw_ligand_RMSD_A,>3,3.5435,20,Raw redocking RMSD (A),Target,,,
c,5J89,Raw_ligand_RMSD_A,<=2,0.3683,3,Raw redocking RMSD (A),Target,,,
c,5LGE,Raw_ligand_RMSD_A,<=2,0.6733,6,Raw redocking RMSD (A),Target,,,
c,5NIU,Raw_ligand_RMSD_A,<=3,2.6195,19,Raw redocking RMSD (A),Target,,,
c,5TBM,Raw_ligand_RMSD_A,<=2,0.8186,9,Raw redocking RMSD (A),Target,,,
c,6E3S,Raw_ligand_RMSD_A,<=2,0.8032,8,Raw redocking RMSD (A),Target,,,
c,6R3K,Raw_ligand_RMSD_A,<=2,1.1618,14,Raw redocking RMSD (A),Target,,,
c,6WKQ,Raw_ligand_RMSD_A,<=2,0.8896,10,Raw redocking RMSD (A),Target,,,
c,7BEA,Raw_ligand_RMSD_A,<=2,0.6731,5,Raw redocking RMSD (A),Target,,,
c,7JRA,Raw_ligand_RMSD_A,<=2,0.26,2,Raw redocking RMSD (A),Target,,,
c,7O2I,Raw_ligand_RMSD_A,<=2,1.9883,17,Raw redocking RMSD (A),Target,,,
c,8EA7,Raw_ligand_RMSD_A,<=2,0.2055,1,Raw redocking RMSD (A),Target,,,
c,8P1O,Raw_ligand_RMSD_A,<=2,1.8758,16,Raw redocking RMSD (A),Target,,,
c,8SE5,Raw_ligand_RMSD_A,<=2,0.6817,7,Raw redocking RMSD (A),Target,,,
d,allosteric,First-supported Top-1,allosteric,0.75,2,Fraction of targets,Pocket archetype,,,
d,allosteric,Reference Top-1,allosteric,0.25,2,Fraction of targets,Pocket archetype,,,
d,complex-dependent,First-supported Top-1,complex-dependent,1,3,Fraction of targets,Pocket archetype,,,
d,complex-dependent,Reference Top-1,complex-dependent,0.25,3,Fraction of targets,Pocket archetype,,,
d,interface/PPI,First-supported Top-1,interface/PPI,1,1,Fraction of targets,Pocket archetype,,,
d,interface/PPI,Reference Top-1,interface/PPI,0.75,1,Fraction of targets,Pocket archetype,,,
d,orthosteric,First-supported Top-1,orthosteric,1,0,Fraction of targets,Pocket archetype,,,
d,orthosteric,Reference Top-1,orthosteric,0.8,0,Fraction of targets,Pocket archetype,,,
