relative_path	file_name	extension	size_bytes	source_archive	proposed_action	action_reason	potential_sensitive_information	potential_third_party_restriction
.gitattributes	.gitattributes		58	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
.github/workflows/ci.yml	ci.yml	.yml	1449	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
.gitignore	.gitignore		307	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
.superpowers/sdd/task-7-report.md	task-7-report.md	.md	5950	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	exclude	internal development record	requires_scan	none_identified
CHANGELOG.md	CHANGELOG.md	.md	1253	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
CITATION.cff	CITATION.cff	.cff	1792	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
CODE_OF_CONDUCT.md	CODE_OF_CONDUCT.md	.md	1450	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
CONTRIBUTING.md	CONTRIBUTING.md	.md	2214	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
LICENSE	LICENSE		1566	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
LICENSES/CC-BY-4.0.txt	CC-BY-4.0.txt	.txt	18656	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
PRE_PUBLICATION_CHECKLIST.md	PRE_PUBLICATION_CHECKLIST.md	.md	3762	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
README.md	README.md	.md	5354	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
README.zh-CN.md	README.zh-CN.md	.md	4648	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
REPRODUCE.md	REPRODUCE.md	.md	4543	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
SECURITY.md	SECURITY.md	.md	1279	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
THIRD_PARTY.md	THIRD_PARTY.md	.md	3816	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
