manuscript_item	manuscript_content	primary_reproducible_source	status	notes
Figure 1	candidate counts; first reference/first-supported ranks; Top-k; bootstrap intervals	results/reference/clustering/cluster_v2_candidates.csv; results/reference/analysis/target_level_candidate_prioritization.csv; results/reference/analysis/final_candidate_prioritization_metrics.csv; results/reference/analysis/final_bootstrap_intervals.csv	data_reproducible	Final manuscript artwork is embedded in the author DOCX and is not regenerated byte-for-byte.
Table 1	14-system complete-case native single-tool and OIPS-P Top-1/Top-3/Top-5/MRR	results/reference/analysis/single_tool_complete_case_metrics.csv	data_reproducible	All six method rows and the common N=14 denominator are rebuilt by reproduce.
Figure 2	native single-tool first-reference ranks; selected regions; complete-case endpoints	results/reference/analysis/single_tool_target_ranks.csv; results/reference/analysis/single_tool_complete_case_metrics.csv	data_reproducible	Panel artwork is author-managed; record-level ranks and summary metrics are reproducible.
Figure 3	Top-3 QC states and R_auto/A_auto/U_auto/X_auto labels	results/reference/analysis/final_top3_automated_QC.csv; results/reference/analysis/final_automated_evidence_labels.csv	data_reproducible	Static ranks are copied unchanged into both post-hoc tables.
Table 2	target prioritization; evidence; local weight sensitivity	results/reference/analysis/target_level_candidate_prioritization.csv; results/reference/analysis/weight_sensitivity_targets.csv	data_reproducible	Scenario-level perturbation details are in weight_sensitivity_scenarios.csv.
Figure 4	O_rel ablation endpoints; rank changes; rank correlations	results/reference/analysis/final_orel_ablation_targets.csv; results/reference/analysis/final_orel_ablation_categories.csv; results/reference/analysis/orel_ablation_cluster_rankings.csv	data_reproducible	All ablated scores and summaries are rebuilt by reproduce.
Figure 5	MD mapping and redocking validation	results/reference/analysis/final_md_cluster_v2_mapping.csv; results/reference/analysis/final_redocking_cluster_v2_mapping.csv; data/posthoc/md_evidence.csv	data_partially_reproducible	Panels A-B use released summaries; panel C occupancy heatmaps require unreleased trajectories/frame-level contacts and are not regenerated.
Figure 6	structural atlas of five representative pocket archetypes	results/reference/static/cluster_v2_static_rankings.csv; data/structures/prepared	data_available_visualization_author_managed	Prepared coordinates and candidate definitions are released; final molecular-rendering sessions/artwork are not.
Table 3	quantitative characteristics of Figure 7 representative candidates	results/reference/analysis/representative_case_results.csv; results/reference/analysis/final_cluster_v2_master_table.csv	data_reproducible	Values can be traced to candidate, reference, MD, redocking, and ablation tables.
Figure 7	three representative structural selection scenarios	results/reference/analysis/representative_case_results.csv; results/reference/analysis/final_md_cluster_v2_mapping.csv; results/reference/static/cluster_v2_static_rankings.csv; data/structures/prepared	data_available_visualization_author_managed	Prepared coordinates and mapped regions are released; final molecular-rendering sessions/artwork are not.
