pdb_id,cluster_v2_id,tool,same_tool_unit_id,raw_row_id,raw_pocket_id,formal_tool_representative,representative_pocket_id,formal_vote_count
1A9M,1A9M_V2C001,CASTpFold,1A9M_CASTpFold_U001,687,1,true,1,1
1A9M,1A9M_V2C001,CavityPlus,1A9M_CavityPlus_U001,1443,Cavity_1,true,Cavity_1,1
1A9M,1A9M_V2C001,DoGSite3,1A9M_DoGSite3_U001,457,P_1,true,P_1,1
1A9M,1A9M_V2C001,DoGSiteScorer,1A9M_DoGSiteScorer_U001,23,P_0,true,P_0,1
1A9M,1A9M_V2C001,DoGSiteScorer,1A9M_DoGSiteScorer_U001,24,P_0_0,false,P_0,0
1A9M,1A9M_V2C001,SiteMap,1A9M_SiteMap_U001,1639,SM01_site_1,true,SM01_site_1,1
1A9M,1A9M_V2C002,CASTpFold,1A9M_CASTpFold_U002,688,2,true,2,1
1A9M,1A9M_V2C002,CavityPlus,1A9M_CavityPlus_U003,1445,Cavity_3,true,Cavity_3,1
1A9M,1A9M_V2C002,DoGSiteScorer,1A9M_DoGSiteScorer_U005,29,P_2,true,P_2,1
1A9M,1A9M_V2C003,CASTpFold,1A9M_CASTpFold_U003,689,3,true,3,1
1A9M,1A9M_V2C003,CavityPlus,1A9M_CavityPlus_U002,1444,Cavity_2,true,Cavity_2,1
1A9M,1A9M_V2C003,DoGSiteScorer,1A9M_DoGSiteScorer_U003,26,P_1,true,P_1,1
1A9M,1A9M_V2C003,DoGSiteScorer,1A9M_DoGSiteScorer_U003,27,P_1_0,false,P_1,0
1A9M,1A9M_V2C003,DoGSiteScorer,1A9M_DoGSiteScorer_U004,28,P_1_1,false,P_1,0
1A9M,1A9M_V2C004,CASTpFold,1A9M_CASTpFold_U007,693,7,true,7,1
1A9M,1A9M_V2C004,DoGSiteScorer,1A9M_DoGSiteScorer_U002,25,P_0_1,true,P_0_1,1
1A9M,1A9M_V2C005,CASTpFold,1A9M_CASTpFold_U012,698,12,true,12,1
1A9M,1A9M_V2C006,CASTpFold,1A9M_CASTpFold_U006,692,6,true,6,1
1A9M,1A9M_V2C007,CASTpFold,1A9M_CASTpFold_U004,690,4,true,4,1
1A9M,1A9M_V2C008,CASTpFold,1A9M_CASTpFold_U019,705,19,true,19,1
1A9M,1A9M_V2C009,CASTpFold,1A9M_CASTpFold_U009,695,9,true,9,1
1A9M,1A9M_V2C010,CASTpFold,1A9M_CASTpFold_U005,691,5,true,5,1
1A9M,1A9M_V2C011,CASTpFold,1A9M_CASTpFold_U016,702,16,true,16,1
1A9M,1A9M_V2C012,CASTpFold,1A9M_CASTpFold_U020,706,20,true,20,1
1A9M,1A9M_V2C013,CASTpFold,1A9M_CASTpFold_U013,699,13,true,13,1
1A9M,1A9M_V2C014,CASTpFold,1A9M_CASTpFold_U018,704,18,true,18,1
1A9M,1A9M_V2C015,CavityPlus,1A9M_CavityPlus_U004,1446,Cavity_4,true,Cavity_4,1
1A9M,1A9M_V2C016,CASTpFold,1A9M_CASTpFold_U008,694,8,true,8,1
1A9M,1A9M_V2C017,CASTpFold,1A9M_CASTpFold_U015,701,15,true,15,1
